row_type,ts_utc,run_date,match_key,match_link,league_slug,match_date,tournament,player_a,player_b,model_id_a,model_id_b,best_of,market,line,book_side,model_selection,bookmaker,decimal_odds,market_p_devig,model_p,edge_raw,edge_devig,kelly_full,stake_flat,stake_kelly,bankroll_kelly,result,pnl_flat,pnl_kelly,note,model_pmf_start,model_pmf,model_median,outcome_value,open_decimal_odds,hours_to_start
pick,2026-08-26T00:31:07+00:00,2026-08-26,pointsbet:2861758,pointsbet:2861758,atp-winston-salem,2026-08-26,ATP Winston Salem,Mannarino A.,Sonego L.,ME82,SU87,3,games_handicap,2.5,home,A -2.5,pointsbet,2.05,0.45187165775401067,0.6054598471370582,0.11765496908827772,0.15358818938304758,0.22970732060092314,1.0,1.0,25.0,,,,"as_of 2026-08-26, book pointsbet",-12,"7.04352e-05,0.000304818,0.00263464,0.00344578,0.0206563,0.0160418,0.0811379,0.0431181,0.156051,0.0710794,0.0787042,0.0347622,0.0383956,0.0432925,0.0447682,0.102144,0.0547206,0.114581,0.0276965,0.0473477,0.00816566,0.00891577,0.00127311,0.000650218,4.27338e-05",-1.0,,,
pick,2026-08-26T00:31:08+00:00,2026-08-26,pointsbet:2863166,pointsbet:2863166,atp-winston-salem,2026-08-26,ATP Winston Salem,Kovacevic A.,Tsitsipas S.,K0AZ,TE51,3,total_games,21.5,over,over 21.5,pointsbet,1.63,0.5744125326370757,0.728612441791528,0.11511550927619052,0.15419990915445225,0.2978385398733183,1.0,1.0,25.0,,,,"as_of 2026-08-26, book pointsbet",11,"0.02,0,0,0,0,0,0.0144032,0.0567038,0.0429382,0.100877,0.0364653,0.130648,0.111776,0.00565665,0.0411712,0.0879818,0.0149058,0.0175313,0.0141221,0.0237926,0.0327307,0.0546687,0.0273528,0.0269162,0.0508461,0.0455898,0.00350362,0.0159273,0.00349239",23.0,,,
pick,2026-08-26T00:31:08+00:00,2026-08-26,pointsbet:2863166,pointsbet:2863166,atp-winston-salem,2026-08-26,ATP Winston Salem,Kovacevic A.,Tsitsipas S.,K0AZ,TE51,3,games_handicap,4.5,home,A -4.5,pointsbet,1.44,0.6390977443609022,0.8504401563762426,0.15599571193179818,0.21134241201534043,0.5105314208677031,1.0,1.0,25.0,,,,"as_of 2026-08-26, book pointsbet",-12,"2.14071e-05,9.82799e-05,0.00118371,0.00158605,0.0134276,0.0104574,0.0779017,0.0448837,0.223567,0.124842,0.126107,0.0462446,0.0431347,0.0453906,0.0560798,0.0842084,0.0349881,0.0496546,0.0060552,0.00874281,0.000668927,0.00068897,4.52985e-05,2.04466e-05,6.2395e-07",-2.0,,,
board,2026-08-26T00:31:07+00:00,2026-08-26,pointsbet:2860207,pointsbet:2860207,atp-winston-salem,2026-08-26,ATP Winston Salem,Kecmanovic M.,Marozsan F.,KI95,M0CI,3,total_games,22.5,over,over 22.5,pointsbet,1.77,0.5241935483870968,0.49089018038551047,-0.07408157102691892,-0.033303368001586287,,0.0,0.0,,,,,"board, as_of 2026-08-26, book pointsbet",11,"0.02,0,0,0,0.0093197,0.0360249,0.0613506,0.0740276,0.0805669,0.0848916,0.0565622,0.0863663,0.0615578,0.0121645,0.0350424,0.0517906,0.02967,0.0369712,0.0386759,0.0400826,0.0451797,0.0434132,0.0266652,0.0202834,0.0248468,0.00454682",22.0,,,
board,2026-08-26T00:31:07+00:00,2026-08-26,pointsbet:2860207,pointsbet:2860207,atp-winston-salem,2026-08-26,ATP Winston Salem,Kecmanovic M.,Marozsan F.,KI95,M0CI,3,games_handicap,-0.5,home,A +0.5,pointsbet,2.05,0.45187165775401067,0.4707914240380152,-0.017013454010765316,0.018919766284004547,,0.0,0.0,,,,,"board, as_of 2026-08-26, book pointsbet",-12,"0.000133657,0.00055733,0.00404751,0.00522682,0.0263109,0.0206646,0.0864212,0.0458753,0.141129,0.0620115,0.0688849,0.0322583,0.0356877,0.0406512,0.0397691,0.0939891,0.0550151,0.118176,0.0345976,0.0587966,0.0125255,0.0135491,0.00237412,0.00124708,0.000100447",0.0,,,
board,2026-08-26T00:31:07+00:00,2026-08-26,pointsbet:2861758,pointsbet:2861758,atp-winston-salem,2026-08-26,ATP Winston Salem,Mannarino A.,Sonego L.,ME82,SU87,3,total_games,22.5,over,over 22.5,pointsbet,1.74,0.5347593582887701,0.5194930379530507,-0.0552196057251102,-0.015266320335719397,,0.0,0.0,,,,,"board, as_of 2026-08-26, book pointsbet",11,"0.02,0,0,0,0,0.0263946,0.0503382,0.0679676,0.0781235,0.0853789,0.0553131,0.0969911,0.073297,0.00959848,0.0347599,0.0564819,0.0244535,0.0334407,0.0346697,0.0379136,0.0467629,0.0490023,0.0295074,0.0229383,0.0317353,0.0149321",23.0,,,
board,2026-08-26T00:31:07+00:00,2026-08-26,pointsbet:2861758,pointsbet:2861758,atp-winston-salem,2026-08-26,ATP Winston Salem,Mannarino A.,Sonego L.,ME82,SU87,3,games_handicap,1.5,home,A -1.5,pointsbet,2.2,0.42558746736292424,0.5267556900002979,0.07221023545484334,0.10116822263737363,,0.0,0.0,,,,,"board, as_of 2026-08-26, book pointsbet",-12,"7.04352e-05,0.000304818,0.00263464,0.00344578,0.0206563,0.0160418,0.0811379,0.0431181,0.156051,0.0710794,0.0787042,0.0347622,0.0383956,0.0432925,0.0447682,0.102144,0.0547206,0.114581,0.0276965,0.0473477,0.00816566,0.00891577,0.00127311,0.000650218,4.27338e-05",-1.0,,,
board,2026-08-26T00:31:07+00:00,2026-08-26,pointsbet:2863135,pointsbet:2863135,atp-winston-salem,2026-08-26,ATP Winston Salem,Van de Zandschulp B.,Darderi L.,V812,D0FJ,3,total_games,21.5,over,over 21.5,pointsbet,1.65,0.5657894736842105,0.5208578942167175,-0.08520271184388861,-0.044931579467493044,,0.0,0.0,,,,,"board, as_of 2026-08-26, book pointsbet",11,"0.02,0,0,0.000681354,0.0364448,0.0479422,0.0816428,0.0730698,0.088478,0.0736313,0.0572518,0.07028,0.0478722,0.0167127,0.0452142,0.039833,0.0363202,0.0388437,0.0423025,0.0392814,0.0405436,0.0341457,0.0221171,0.0161205,0.0112711",22.0,,,
board,2026-08-26T00:31:07+00:00,2026-08-26,pointsbet:2863135,pointsbet:2863135,atp-winston-salem,2026-08-26,ATP Winston Salem,Van de Zandschulp B.,Darderi L.,V812,D0FJ,3,games_handicap,-1.5,home,A +1.5,pointsbet,1.77,0.5177111716621253,0.5219385491233782,-0.043033202289051165,0.004227377461252901,,0.0,0.0,,,,,"board, as_of 2026-08-26, book pointsbet",-12,"0.000209598,0.000852448,0.00491576,0.00656039,0.0263627,0.0226552,0.0730224,0.0423213,0.103774,0.0474898,0.0526986,0.0284463,0.0315939,0.0371585,0.0362589,0.0847097,0.061325,0.128082,0.053666,0.0879599,0.0278631,0.0295475,0.00769183,0.00431497,0.000519446",2.0,,,
board,2026-08-26T00:31:08+00:00,2026-08-26,pointsbet:2863166,pointsbet:2863166,atp-winston-salem,2026-08-26,ATP Winston Salem,Kovacevic A.,Tsitsipas S.,K0AZ,TE51,3,total_games,22.5,over,over 22.5,pointsbet,1.85,0.5,0.5979648287600351,0.057424288219494635,0.0979648287600351,,0.0,0.0,,,,,"board, as_of 2026-08-26, book pointsbet",11,"0.02,0,0,0,0,0,0.0144032,0.0567038,0.0429382,0.100877,0.0364653,0.130648,0.111776,0.00565665,0.0411712,0.0879818,0.0149058,0.0175313,0.0141221,0.0237926,0.0327307,0.0546687,0.0273528,0.0269162,0.0508461,0.0455898,0.00350362,0.0159273,0.00349239",23.0,,,
board,2026-08-26T00:31:08+00:00,2026-08-26,pointsbet:2863166,pointsbet:2863166,atp-winston-salem,2026-08-26,ATP Winston Salem,Kovacevic A.,Tsitsipas S.,K0AZ,TE51,3,games_handicap,2.5,home,A -2.5,pointsbet,2.3,0.40414507772020725,0.5020305291039296,0.06724792040827743,0.0978854513837224,,0.0,0.0,,,,,"board, as_of 2026-08-26, book pointsbet",-12,"2.14071e-05,9.82799e-05,0.00118371,0.00158605,0.0134276,0.0104574,0.0779017,0.0448837,0.223567,0.124842,0.126107,0.0462446,0.0431347,0.0453906,0.0560798,0.0842084,0.0349881,0.0496546,0.0060552,0.00874281,0.000668927,0.00068897,4.52985e-05,2.04466e-05,6.2395e-07",-2.0,,,
