row_type,ts_utc,run_date,match_key,match_link,league_slug,match_date,tournament,player_a,player_b,model_id_a,model_id_b,best_of,market,line,book_side,model_selection,bookmaker,decimal_odds,market_p_devig,model_p,edge_raw,edge_devig,kelly_full,stake_flat,stake_kelly,bankroll_kelly,result,pnl_flat,pnl_kelly,note,model_pmf_start,model_pmf,model_median,outcome_value,open_decimal_odds,hours_to_start
pick,2026-08-19T00:56:19+00:00,2026-08-19,pointsbet:2850765,pointsbet:2850765,atp-cincinnati,2026-08-19,ATP Cincinnati,Tien L.,Tiafoe F.,T0HA,TD51,3,total_games,25.5,under,under 25.5,pointsbet,1.67,0.557029177718833,0.6203407520057705,0.02153835679618965,0.06331157428693757,0.05368515798453251,1.0,0.6711,25.0,,,,"as_of 2026-08-19, book pointsbet",11,"0.02,0,0,0,0.0135545,0.03236,0.0707923,0.0650216,0.089028,0.0771301,0.059255,0.0840899,0.0621162,0.0115003,0.0354929,0.0504605,0.0305442,0.035025,0.0396913,0.038194,0.0463374,0.0421745,0.0272355,0.019987,0.0253297,0.00468024",22.0,,,
pick,2026-08-19T00:56:19+00:00,2026-08-19,pointsbet:2850765,pointsbet:2850765,atp-cincinnati,2026-08-19,ATP Cincinnati,Tien L.,Tiafoe F.,T0HA,TD51,3,games_handicap,3.5,home,A -3.5,pointsbet,1.77,0.5177111716621253,0.7386772258299683,0.17370547441753892,0.22096605416784298,0.39929699963512194,1.0,1.0,25.0,,,,"as_of 2026-08-19, book pointsbet",-12,"6.90939e-05,0.000299214,0.00239921,0.00320191,0.017778,0.0144155,0.066168,0.0363158,0.120676,0.0549935,0.0639309,0.0306979,0.0351936,0.0415224,0.0425007,0.103711,0.0631832,0.14047,0.0433848,0.0763876,0.0173989,0.0194762,0.00366572,0.00198876,0.000172321",2.0,,,
pick,2026-08-19T00:56:19+00:00,2026-08-19,pointsbet:2852010,pointsbet:2852010,atp-cincinnati,2026-08-19,ATP Cincinnati,Tirante T.,Mensik J.,T0A1,M0NI,3,games_handicap,2.5,home,A -2.5,pointsbet,1.95,0.4715447154471546,0.5404125306006394,0.027592017780126543,0.06886781515348483,0.056636247022365103,1.0,0.708,25.0,,,,"as_of 2026-08-19, book pointsbet",-12,"6.40508e-05,0.000278856,0.00259266,0.00336482,0.0217444,0.016503,0.0913506,0.0481431,0.187941,0.0876054,0.0917664,0.0376681,0.0399454,0.0431195,0.0459974,0.0952355,0.046029,0.0880108,0.0168534,0.0276312,0.0036358,0.00387767,0.000425187,0.00020659,1.0451e-05",-2.0,,,
pick,2026-08-19T00:56:19+00:00,2026-08-19,pointsbet:2852058,pointsbet:2852058,atp-cincinnati,2026-08-19,ATP Cincinnati,Fils A.,De Minaur A.,F0F1,DH58,3,games_handicap,-3.5,away,B -3.5,pointsbet,1.67,0.557029177718833,0.6563202752916336,0.05751788008205272,0.09929109757280064,0.1433654622940718,1.0,1.0,25.0,,,,"as_of 2026-08-19, book pointsbet",-12,"7.50714e-05,0.000323655,0.00259516,0.00343915,0.0190893,0.0153169,0.0704655,0.0383024,0.127518,0.0577535,0.0664382,0.0314849,0.0358263,0.0419074,0.0426804,0.103105,0.0614544,0.135135,0.0401623,0.0700386,0.0152264,0.0168809,0.00302822,0.00162028,0.00013382",1.0,,,
pick,2026-08-19T00:56:19+00:00,2026-08-19,pointsbet:2852114,pointsbet:2852114,atp-cincinnati,2026-08-19,ATP Cincinnati,Zverev A.,Paul T.,Z355,PL56,3,games_handicap,-2.5,home,A +2.5,pointsbet,1.71,0.5390835579514824,0.6174676709605629,0.03267234932313601,0.07838411300908044,0.07868974273600356,1.0,0.9836,25.0,,,,"as_of 2026-08-19, book pointsbet",-12,"8.40976e-06,4.01327e-05,0.000464771,0.000660644,0.00529074,0.0044749,0.030008,0.0176181,0.0811503,0.0415301,0.0529891,0.0257364,0.0318338,0.0409275,0.0497994,0.128185,0.0802194,0.188941,0.0558416,0.10575,0.0230198,0.0275076,0.00498527,0.00278435,0.00023311",3.0,,,
pick,2026-08-19T00:56:19+00:00,2026-08-19,pointsbet:2854588,pointsbet:2854588,atp-cincinnati,2026-08-19,ATP Cincinnati,Borges N.,Nakashima B.,BT72,N0AE,3,games_handicap,1.5,away,B +1.5,pointsbet,1.8,0.5095367847411445,0.6100703927744422,0.054514837218886614,0.1005336080332977,0.12265838374249494,1.0,1.0,25.0,,,,"as_of 2026-08-19, book pointsbet",-12,"8.36986e-05,0.000359642,0.00325225,0.004163,0.0261753,0.0195215,0.105342,0.0545069,0.207149,0.0947482,0.0947691,0.0373657,0.0384924,0.0401525,0.042087,0.0837166,0.0388166,0.0713443,0.0125571,0.0201032,0.00239922,0.00251898,0.000251048,0.000119449,5.48641e-06",-3.0,,,
board,2026-08-19T00:56:19+00:00,2026-08-19,pointsbet:2850765,pointsbet:2850765,atp-cincinnati,2026-08-19,ATP Cincinnati,Tien L.,Tiafoe F.,T0HA,TD51,3,total_games,23.5,over,over 23.5,pointsbet,2.05,0.45187165775401067,0.4266524610984477,-0.061152416950332855,-0.025219196655562992,,0.0,0.0,,,,,"board, as_of 2026-08-19, book pointsbet",11,"0.02,0,0,0,0.0135545,0.03236,0.0707923,0.0650216,0.089028,0.0771301,0.059255,0.0840899,0.0621162,0.0115003,0.0354929,0.0504605,0.0305442,0.035025,0.0396913,0.038194,0.0463374,0.0421745,0.0272355,0.019987,0.0253297,0.00468024",22.0,,,
board,2026-08-19T00:56:19+00:00,2026-08-19,pointsbet:2850765,pointsbet:2850765,atp-cincinnati,2026-08-19,ATP Cincinnati,Tien L.,Tiafoe F.,T0HA,TD51,3,games_handicap,1.5,home,A -1.5,pointsbet,2.75,0.3309002433090025,0.6197528062616124,0.2561164426252488,0.28885256295260997,,0.0,0.0,,,,,"board, as_of 2026-08-19, book pointsbet",-12,"6.90939e-05,0.000299214,0.00239921,0.00320191,0.017778,0.0144155,0.066168,0.0363158,0.120676,0.0549935,0.0639309,0.0306979,0.0351936,0.0415224,0.0425007,0.103711,0.0631832,0.14047,0.0433848,0.0763876,0.0173989,0.0194762,0.00366572,0.00198876,0.000172321",2.0,,,
board,2026-08-19T00:56:19+00:00,2026-08-19,pointsbet:2851971,pointsbet:2851971,atp-cincinnati,2026-08-19,ATP Cincinnati,Jodar R.,Cobolli F.,J0DZ,C0E9,3,total_games,20.5,over,over 20.5,pointsbet,1.63,0.5744125326370757,0.5386964384556783,-0.07480049405965916,-0.03571609418139743,,0.0,0.0,,,,,"board, as_of 2026-08-19, book pointsbet",11,"0.02,0,0,0.00353523,0.0507393,0.0421961,0.11053,0.0562436,0.118451,0.0596083,0.0644138,0.069175,0.0520871,0.0181036,0.0322186,0.0329466,0.0309966,0.0279532,0.0377513,0.0298384,0.0400668,0.0305673,0.0222639,0.0149194,0.0153949",21.0,,,
board,2026-08-19T00:56:19+00:00,2026-08-19,pointsbet:2851971,pointsbet:2851971,atp-cincinnati,2026-08-19,ATP Cincinnati,Jodar R.,Cobolli F.,J0DZ,C0E9,3,games_handicap,-3.5,home,A +3.5,pointsbet,1.67,0.557029177718833,0.5746768176012155,-0.024125577608365423,0.017647639882382493,,0.0,0.0,,,,,"board, as_of 2026-08-19, book pointsbet",-12,"1.83545e-05,8.47396e-05,0.000767691,0.00109336,0.00682798,0.00597157,0.0303949,0.0179822,0.0653666,0.0317926,0.0405764,0.0212194,0.0265117,0.0341198,0.0385145,0.104082,0.0750058,0.183268,0.071226,0.135987,0.0402395,0.0488304,0.0120579,0.00723379,0.000828594",4.0,,,
