tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2019-339,Brisbane,Hard,28,250,O,20181231,1,T786,,PR,Jo-Wilfried Tsonga,R,188.0,FRA,33.706,239.0,200.0,KD46,,Q,Thanasi Kokkinakis,R,193.0,AUS,22.724,146.0,367.0,7-6(6) 6-4,3,R32,102.0,11.0,1.0,76.0,41.0,33.0,20.0,11.0,2.0,3.0,3.0,0.0,61.0,46.0,34.0,10.0,11.0,1.0,3.0
2019-339,Brisbane,Hard,28,250,O,20181231,2,TC61,,,Jordan Thompson,R,183.0,AUS,24.698,72.0,715.0,BI81,,WC,Alex Bolt,L,183.0,AUS,25.985,154.0,352.0,6-3 6-0,3,R32,77.0,1.0,2.0,42.0,29.0,23.0,7.0,8.0,0.0,1.0,1.0,3.0,64.0,33.0,17.0,12.0,7.0,8.0,13.0
2019-339,Brisbane,Hard,28,250,O,20181231,3,DH58,7.0,,Alex de Minaur,R,183.0,AUS,19.869,31.0,1298.0,P09Z,,WC,Alexei Popyrin,R,196.0,AUS,19.406,147.0,367.0,6-2 6-2,3,R32,60.0,1.0,2.0,43.0,28.0,25.0,6.0,8.0,3.0,4.0,5.0,5.0,49.0,31.0,18.0,4.0,8.0,4.0,9.0
2019-339,Brisbane,Hard,28,250,O,20181231,4,MC10,,PR,Andy Murray,R,191.0,GBR,31.63,240.0,200.0,D994,,WC,James Duckworth,R,183.0,AUS,26.943,234.0,206.0,6-3 6-4,3,R32,88.0,6.0,4.0,66.0,39.0,28.0,16.0,10.0,4.0,5.0,8.0,2.0,56.0,34.0,23.0,9.0,9.0,1.0,4.0
2019-339,Brisbane,Hard,28,250,O,20181231,5,KI95,,Q,Miomir Kecmanovic,R,183.0,SRB,19.335,131.0,433.0,MD56,,,Leonardo Mayer,R,191.0,ARG,31.63,56.0,895.0,6-3 6-1,3,R32,61.0,5.0,2.0,45.0,25.0,22.0,12.0,8.0,1.0,1.0,6.0,2.0,49.0,29.0,18.0,7.0,8.0,4.0,8.0
2019-339,Brisbane,Hard,28,250,O,20181231,6,R975,5.0,,Milos Raonic,R,196.0,CAN,28.011,18.0,1855.0,BH09,,,Aljaz Bedene,R,183.0,SLO,29.454,67.0,780.0,6-0 6-3,3,R32,47.0,18.0,0.0,38.0,29.0,27.0,5.0,8.0,0.0,0.0,4.0,1.0,43.0,30.0,16.0,2.0,7.0,4.0,8.0
2019-339,Brisbane,Hard,28,250,O,20181231,7,KE17,8.0,,Nick Kyrgios,R,193.0,AUS,23.68,35.0,1125.0,H940,,,Ryan Harrison,R,185.0,USA,26.65,62.0,810.0,7-6(5) 5-7 7-6(5),3,R32,128.0,44.0,3.0,119.0,80.0,63.0,24.0,18.0,1.0,2.0,27.0,3.0,113.0,77.0,60.0,24.0,18.0,5.0,5.0
2019-339,Brisbane,Hard,28,250,O,20181231,8,CA12,,,Jeremy Chardy,R,188.0,FRA,31.882,40.0,1050.0,SL28,,,Jan-Lennard Struff,R,193.0,GER,28.684,57.0,875.0,4-6 6-3 6-4,3,R32,99.0,15.0,4.0,87.0,52.0,40.0,21.0,15.0,2.0,3.0,10.0,2.0,74.0,41.0,32.0,22.0,14.0,4.0,6.0
2019-339,Brisbane,Hard,28,250,O,20181231,9,U134,,Q,Yasutaka Uchiyama,R,183.0,JPN,26.404,185.0,275.0,HH26,,Q,Ugo Humbert,L,188.0,FRA,20.515,102.0,572.0,6-4 7-6(6),3,R32,90.0,12.0,0.0,58.0,43.0,39.0,10.0,11.0,0.0,0.0,6.0,4.0,75.0,45.0,35.0,14.0,11.0,0.0,1.0
2019-339,Brisbane,Hard,28,250,O,20181231,10,D875,6.0,,Grigor Dimitrov,R,191.0,BUL,27.628,19.0,1835.0,N732,,,Yoshihito Nishioka,L,170.0,JPN,23.261,75.0,701.0,6-3 6-4,3,R32,79.0,9.0,6.0,76.0,43.0,37.0,12.0,10.0,6.0,7.0,1.0,1.0,47.0,33.0,21.0,7.0,9.0,0.0,3.0
2019-339,Brisbane,Hard,28,250,O,20181231,11,MH30,,,John Millman,R,183.0,AUS,29.547,38.0,1083.0,SL08,,,Tennys Sandgren,R,188.0,USA,27.444,61.0,814.0,7-6(6) 6-7(6) 6-0,3,R32,153.0,8.0,2.0,98.0,68.0,49.0,15.0,15.0,3.0,5.0,12.0,4.0,106.0,63.0,44.0,20.0,15.0,13.0,18.0
2019-339,Brisbane,Hard,28,250,O,20181231,12,KB09,,,Denis Kudla,R,180.0,USA,26.371,63.0,810.0,FB98,,,Taylor Fritz,R,196.0,USA,21.175,49.0,974.0,7-6(5) 6-7(2) 6-4,3,R32,144.0,8.0,4.0,117.0,73.0,58.0,26.0,17.0,4.0,4.0,22.0,4.0,123.0,72.0,57.0,27.0,17.0,9.0,10.0
2019-339,Brisbane,Hard,28,250,O,20181231,13,T786,,PR,Jo-Wilfried Tsonga,R,188.0,FRA,33.706,239.0,200.0,DA81,,LL,Taro Daniel,R,191.0,JPN,25.925,77.0,691.0,7-6(5) 6-3,3,R16,100.0,11.0,3.0,64.0,37.0,30.0,11.0,10.0,4.0,7.0,3.0,7.0,85.0,51.0,34.0,11.0,11.0,6.0,11.0
2019-339,Brisbane,Hard,28,250,O,20181231,14,DH58,7.0,,Alex de Minaur,R,183.0,AUS,19.869,31.0,1298.0,TC61,,,Jordan Thompson,R,183.0,AUS,24.698,72.0,715.0,6-4 6-2,3,R16,80.0,1.0,1.0,49.0,38.0,29.0,8.0,9.0,0.0,0.0,5.0,0.0,56.0,39.0,30.0,3.0,9.0,3.0,6.0
2019-339,Brisbane,Hard,28,250,O,20181231,15,MM58,4.0,,Daniil Medvedev,R,198.0,RUS,22.886,16.0,1977.0,MC10,,PR,Andy Murray,R,191.0,GBR,31.63,240.0,200.0,7-5 6-2,3,R16,81.0,16.0,2.0,54.0,34.0,27.0,13.0,10.0,0.0,1.0,6.0,1.0,60.0,39.0,27.0,7.0,10.0,2.0,6.0
2019-339,Brisbane,Hard,28,250,O,20181231,16,R975,5.0,,Milos Raonic,R,196.0,CAN,28.011,18.0,1855.0,KI95,,Q,Miomir Kecmanovic,R,183.0,SRB,19.335,131.0,433.0,6-3 7-6(2),3,R16,82.0,21.0,3.0,62.0,46.0,40.0,10.0,11.0,0.0,0.0,3.0,0.0,71.0,44.0,28.0,18.0,10.0,2.0,3.0
2019-339,Brisbane,Hard,28,250,O,20181231,17,CA12,,,Jeremy Chardy,R,188.0,FRA,31.882,40.0,1050.0,KE17,8.0,,Nick Kyrgios,R,193.0,AUS,23.68,35.0,1125.0,6-7(5) 6-2 6-3,3,R16,99.0,17.0,5.0,84.0,58.0,50.0,17.0,15.0,2.0,2.0,13.0,6.0,80.0,59.0,48.0,10.0,14.0,2.0,5.0
2019-339,Brisbane,Hard,28,250,O,20181231,18,U134,,Q,Yasutaka Uchiyama,R,183.0,JPN,26.404,185.0,275.0,E831,3.0,,Kyle Edmund,R,188.0,GBR,23.978,14.0,2150.0,7-6(6) 6-4,3,R16,93.0,15.0,0.0,75.0,48.0,41.0,14.0,11.0,3.0,3.0,7.0,1.0,75.0,50.0,35.0,14.0,11.0,1.0,2.0
2019-339,Brisbane,Hard,28,250,O,20181231,19,D875,6.0,,Grigor Dimitrov,R,191.0,BUL,27.628,19.0,1835.0,MH30,,,John Millman,R,183.0,AUS,29.547,38.0,1083.0,6-3 6-4,3,R16,88.0,6.0,2.0,63.0,35.0,27.0,13.0,10.0,2.0,4.0,1.0,1.0,55.0,37.0,18.0,10.0,9.0,3.0,7.0
2019-339,Brisbane,Hard,28,250,O,20181231,20,N552,2.0,,Kei Nishikori,R,178.0,JPN,29.005,9.0,3590.0,KB09,,,Denis Kudla,R,180.0,USA,26.371,63.0,810.0,7-5 6-2,3,R16,79.0,7.0,2.0,56.0,32.0,27.0,15.0,10.0,0.0,0.0,5.0,3.0,60.0,36.0,26.0,8.0,10.0,4.0,7.0
2019-339,Brisbane,Hard,28,250,O,20181231,21,T786,,PR,Jo-Wilfried Tsonga,R,188.0,FRA,33.706,239.0,200.0,DH58,7.0,,Alex de Minaur,R,183.0,AUS,19.869,31.0,1298.0,6-4 7-6(2),3,QF,106.0,12.0,2.0,68.0,43.0,34.0,15.0,11.0,4.0,5.0,1.0,2.0,81.0,60.0,38.0,9.0,11.0,4.0,6.0
2019-339,Brisbane,Hard,28,250,O,20181231,22,MM58,4.0,,Daniil Medvedev,R,198.0,RUS,22.886,16.0,1977.0,R975,5.0,,Milos Raonic,R,196.0,CAN,28.011,18.0,1855.0,6-7(2) 6-3 6-4,3,QF,129.0,12.0,3.0,105.0,68.0,48.0,25.0,16.0,8.0,8.0,29.0,5.0,94.0,56.0,46.0,19.0,15.0,2.0,4.0
2019-339,Brisbane,Hard,28,250,O,20181231,23,CA12,,,Jeremy Chardy,R,188.0,FRA,31.882,40.0,1050.0,U134,,Q,Yasutaka Uchiyama,R,183.0,JPN,26.404,185.0,275.0,6-4 3-6 7-6(4),3,QF,127.0,10.0,8.0,94.0,58.0,44.0,18.0,16.0,4.0,8.0,12.0,6.0,90.0,54.0,40.0,18.0,15.0,6.0,9.0
2019-339,Brisbane,Hard,28,250,O,20181231,24,N552,2.0,,Kei Nishikori,R,178.0,JPN,29.005,9.0,3590.0,D875,6.0,,Grigor Dimitrov,R,191.0,BUL,27.628,19.0,1835.0,7-5 7-5,3,QF,100.0,5.0,2.0,59.0,47.0,37.0,9.0,12.0,0.0,1.0,8.0,5.0,80.0,53.0,37.0,13.0,12.0,6.0,9.0
2019-339,Brisbane,Hard,28,250,O,20181231,25,MM58,4.0,,Daniil Medvedev,R,198.0,RUS,22.886,16.0,1977.0,T786,,PR,Jo-Wilfried Tsonga,R,188.0,FRA,33.706,239.0,200.0,7-6(6) 6-2,3,SF,82.0,10.0,1.0,52.0,33.0,28.0,14.0,10.0,0.0,1.0,17.0,2.0,77.0,52.0,36.0,7.0,10.0,10.0,13.0
2019-339,Brisbane,Hard,28,250,O,20181231,26,N552,2.0,,Kei Nishikori,R,178.0,JPN,29.005,9.0,3590.0,CA12,,,Jeremy Chardy,R,188.0,FRA,31.882,40.0,1050.0,6-2 6-2,3,SF,66.0,2.0,2.0,47.0,33.0,26.0,9.0,8.0,2.0,2.0,10.0,3.0,46.0,27.0,15.0,6.0,8.0,1.0,5.0
2019-339,Brisbane,Hard,28,250,O,20181231,27,N552,2.0,,Kei Nishikori,R,178.0,JPN,29.005,9.0,3590.0,MM58,4.0,,Daniil Medvedev,R,198.0,RUS,22.886,16.0,1977.0,6-4 3-6 6-2,3,F,124.0,3.0,3.0,77.0,44.0,31.0,17.0,13.0,3.0,6.0,8.0,6.0,100.0,54.0,34.0,20.0,14.0,10.0,15.0
2019-451,Doha,Hard,32,250,O,20181231,1,H996,,,Pierre-Hugues Herbert,R,188.0,FRA,27.789,55.0,903.0,TB69,2.0,,Dominic Thiem,R,185.0,AUT,25.325,8.0,4095.0,6-3 7-5,3,R32,86.0,6.0,0.0,63.0,41.0,33.0,13.0,11.0,1.0,1.0,4.0,2.0,57.0,34.0,23.0,13.0,10.0,1.0,3.0
2019-451,Doha,Hard,32,250,O,20181231,2,MN13,,Q,Maximilian Marterer,L,188.0,GER,23.546,74.0,706.0,G967,,,Peter Gojowczyk,R,188.0,GER,29.462,59.0,855.0,6-1 6-4,3,R32,55.0,8.0,0.0,48.0,34.0,30.0,8.0,9.0,2.0,2.0,6.0,4.0,50.0,27.0,19.0,10.0,8.0,4.0,7.0
2019-451,Doha,Hard,32,250,O,20181231,3,BA47,,WC,Tomas Berdych,R,196.0,CZE,33.287,71.0,715.0,K435,,,Philipp Kohlschreiber,R,178.0,GER,35.209,34.0,1125.0,6-4 7-6(5),3,R32,102.0,6.0,1.0,73.0,43.0,33.0,17.0,11.0,1.0,2.0,3.0,4.0,73.0,42.0,33.0,14.0,11.0,2.0,4.0
2019-451,Doha,Hard,32,250,O,20181231,4,V306,8.0,,Fernando Verdasco,L,188.0,ESP,35.127,28.0,1410.0,L503,,LL,Paolo Lorenzi,R,183.0,ITA,37.043,109.0,525.0,6-3 6-4,3,R32,89.0,9.0,0.0,54.0,36.0,30.0,6.0,10.0,0.0,2.0,2.0,1.0,69.0,40.0,21.0,14.0,9.0,7.0,11.0
2019-451,Doha,Hard,32,250,O,20181231,5,CF01,4.0,,Marco Cecchinato,R,185.0,ITA,26.251,20.0,1819.0,SC77,,Q,Sergiy Stakhovsky,R,193.0,UKR,32.983,134.0,424.0,6-4 6-2,3,R32,82.0,5.0,3.0,56.0,42.0,35.0,6.0,9.0,1.0,1.0,6.0,3.0,79.0,58.0,34.0,9.0,9.0,8.0,11.0
2019-451,Doha,Hard,32,250,O,20181231,6,PC11,,,Guido Pella,L,183.0,ARG,28.624,58.0,860.0,I306,,WC,Cem Ilkel,R,185.0,TUR,23.362,249.0,183.0,7-6(1) 6-3,3,R32,107.0,5.0,1.0,66.0,48.0,36.0,11.0,11.0,0.0,2.0,3.0,1.0,82.0,53.0,32.0,12.0,10.0,6.0,9.0
2019-451,Doha,Hard,32,250,O,20181231,7,L987,,,Dusan Lajovic,R,183.0,SRB,28.504,48.0,985.0,ME82,,,Adrian Mannarino,L,180.0,FRA,30.505,42.0,1045.0,6-3 7-6(5),3,R32,95.0,3.0,1.0,77.0,58.0,40.0,9.0,11.0,6.0,8.0,3.0,2.0,61.0,38.0,26.0,11.0,10.0,2.0,5.0
